id,entity_id,entity_label,relation_id,relation_label,question,span
5834,Q1088453,Chrysalis Records,P264,record label,Who is a notable rock singer that was signed by chrysalis records,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
5835,Q220351,Zoot Money,P21,sex or gender,george bruno money is what gender?,"[0, 0, 1, 0, 0, 0]"
5836,Q597,Lisbon,P19,place of birth,Name a person born in lisbon,"[0, 0, 0, 0, 0, 1]"
5837,Q6389694,Kennedy Thomson,P21,sex or gender,whats kennedy thomson's gender,"[0, 1, 1, 0]"
5838,Q100704,Ernst Dircksen,P19,place of birth,where was ernst dircksen born,"[0, 0, 1, 1, 0]"
5839,Q13431312,Tom Clancy's The Division,P404,game mode,What is a mode in the division,"[0, 0, 0, 0, 0, 1, 1]"
5840,Q999968,Buckwheat Zydeco,P21,sex or gender,What is the gender of buckwheat zydeco,"[0, 0, 0, 0, 0, 1, 1]"
5841,Q2394556,Black City Parade,P175,performer,Which band produced the black city parade album?,"[0, 0, 0, 0, 1, 1, 1, 0]"
5842,Q4143475,Vladimir Gorb,P19,place of birth,which city was vladimir gorb born,"[0, 0, 0, 1, 1, 0]"
5843,Q6490504,Larry Himes,P21,sex or gender,what is the gender of larry himes,"[0, 0, 0, 0, 0, 1, 1]"
5844,Q558602,Don Cornell,P509,cause of death,what disease killed don cornell,"[0, 0, 0, 1, 1]"
5845,Q60971,Armond Hill,P172,ethnic group,what is the ethnicity of armond hill?,"[0, 0, 0, 0, 0, 1, 1]"
5846,Q7360275,Roland Howell,P19,place of birth,in what southern city was roland howell born,"[0, 0, 0, 0, 0, 1, 1, 0]"
5847,Q484641,pop rock,P136,genre,What is the name of a pop rock album,"[0, 0, 0, 0, 0, 0, 1, 1, 0]"
5848,Q972663,Heuchera,P171,parent taxon,What's the higher classification of heuchera,"[0, 0, 0, 0, 0, 1]"
5849,Q5135284,Close to You,P495,country of origin,what country is close to you from?,"[0, 0, 0, 1, 1, 1, 0]"
5850,Q5360310,Eli Schwartz,P27,country of citizenship,What is the nationality of eli schwartz?,"[0, 0, 0, 0, 0, 1, 1]"
5851,Q717263,Denys Yurchenko,P19,place of birth,Where was denys yurchenko born?,"[0, 0, 1, 1, 0]"
5852,Q6289045,Josh Kelly,P21,sex or gender,what gender is josh kelly?,"[0, 0, 0, 1, 1]"
5853,Q506616,drowning,P509,cause of death,which journalist died from drowning?,"[0, 0, 0, 0, 1]"
5854,Q3174713,Jean Sylvain,P27,country of citizenship,jean sylvain is from what country?,"[1, 1, 0, 0, 0, 0]"
5855,Q6980447,Natural Bridge,P175,performer,who is credited with natural bridge ,"[0, 0, 0, 0, 1, 1]"
5856,Q242732,Cathy Moriarty,P106,occupation,What is cathy moriarty's profession?,"[0, 0, 1, 1, 0]"
5857,Q3852554,Maurizio Chiari,P21,sex or gender,What sex is maurizio chiari,"[0, 0, 0, 1, 1]"
5858,Q151361,3350 Scobee,P397,parent astronomical body,which orbit has relationship with 3350 scobee,"[0, 0, 0, 0, 0, 1, 1]"
5859,Q1059104,Lágrimas y gozos,P136,genre,what is the genre of the album lágrimas y gozos,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
5860,Q2882961,Liván Hernández,P21,sex or gender,which gender is liván hernández,"[0, 0, 0, 1, 1]"
5861,Q8341,jazz,P136,genre,Name an a jazz artist who played the drums.,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
5862,Q6775811,Martin Jeppesen,P27,country of citizenship,where is martin jeppesen originally from,"[0, 0, 1, 1, 0, 0]"
5863,Q634048,Daniel Adam z Veleslavína,P20,place of death,where did daniel adam z veleslavína die,"[0, 0, 1, 1, 1, 1, 0]"
5864,Q6077732,Isabel Parra,P40,child,Who is the mother of isabel parra?,"[0, 0, 0, 0, 0, 1, 1]"
5865,Q467945,ROXY REYNOLDS,P27,country of citizenship,what is the nationality of roxy reynolds,"[0, 0, 0, 0, 0, 1, 1]"
5866,Q2260782,Scott Atran,P27,country of citizenship,Where is scott atran from?,"[0, 0, 1, 1, 0]"
5867,Q7173472,Peter Cundall,P27,country of citizenship,What is peter cundall's nationality?,"[0, 0, 1, 1, 0]"
5868,Q281281,Eyes of an Angel,P364,original language of film or TV show,which language was  the film eyes of an angel filmed in,"[0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0]"
5869,Q6761891,Marian Hannah Winter,P20,place of death,where in france was marian hannah winter born in?,"[0, 0, 0, 0, 1, 1, 1, 0, 0]"
5870,Q1764174,Quest for Camelot,P495,country of origin,what country made quest for camelot,"[0, 0, 0, 1, 1, 1]"
5871,Q2526255,film director,P106,occupation,who is a professional film director,"[0, 0, 0, 0, 1, 1]"
5872,Q16186870,Dewey Robinson,P19,place of birth,where was dewey robinson born,"[0, 0, 1, 1, 0]"
5873,Q3131386,Henri La Barthe,P106,occupation,What was henri la barthe's profession?,"[0, 0, 1, 1, 1, 0]"
5874,Q212498,Adam Zamoyski,P27,country of citizenship,Which nation is adam zamoyski from?,"[0, 0, 0, 1, 1, 0]"
5875,Q212775,The Last Emperor,P495,country of origin,what country was the film the last emperor done in,"[0, 0, 0, 1, 0, 1, 1, 1, 0, 0]"
5876,Q3231838,The City Stands Trial,P364,original language of film or TV show,What language was the city stands trial filmed in?,"[0, 0, 0, 1, 1, 1, 1, 0, 0]"
5877,Q7913196,Van Buren Street Bridge,P276,location,where in the united states is van buren street bridge in?,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]"
5878,Q11366,alternative rock,P136,genre,"Name an alternative rock band from Seattle, Washington.","[0, 0, 1, 1, 0, 0, 0, 0]"
5879,Q4646285,99,P495,country of origin,Which country does the film 99 take place in?,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
5880,Q2915908,Robert Shaw,P19,place of birth,In which location was robert shaw (conductor) born?,"[0, 0, 0, 0, 1, 1, 0, 0]"
5881,Q7153642,Paul Sloane,P21,sex or gender,what is paul sloane's gender?,"[0, 0, 1, 1, 0]"
5882,Q673101,Pumpkin,P495,country of origin,In which country was pumpkin made?,"[0, 0, 0, 0, 1, 0]"
5883,Q221369,Chobits,P364,original language of film or TV show,The program chobits is in what language?,"[0, 0, 1, 0, 0, 0, 0]"
5884,Q462471,power forward,P413,position played on team / speciality,Who has played power forward in basketball? ,"[0, 0, 0, 1, 1, 0, 0]"
5885,Q1214440,The Little Drummer Girl,P57,director,who directed the little drummer girl?,"[0, 0, 1, 1, 1, 1]"
5886,Q1809138,Brooks Hays,P20,place of death,which town did brooks hays pass away in,"[0, 0, 0, 1, 1, 0, 0, 0]"
5887,Q1214594,Certified Copy,P364,original language of film or TV show,what language film is certified copy,"[0, 0, 0, 0, 1, 1]"
5888,Q7738648,The Half-Way Girl,P136,genre,what type of movie is the film  the half-way girl,"[0, 0, 0, 0, 0, 1, 0, 1, 1, 1]"
5889,Q6625963,novelist,P106,occupation,name a professional novelist.,"[0, 0, 0, 1]"
5890,Q6546973,Liisa Nevalainen,P27,country of citizenship,what country is liisa nevalainen from,"[0, 0, 0, 1, 1, 0]"
5891,Q17,Japan,P19,place of birth,Who was born in japan,"[0, 0, 0, 0, 1]"
5892,Q7658609,Swing Your Lady,P364,original language of film or TV show,Which language was swing your lady filmed in?,"[0, 0, 0, 1, 1, 1, 0, 0]"
5893,Q12132027,Aleksei Nagornyj,P19,place of birth,where was aleksei nagornyj born?,"[0, 0, 1, 1, 0]"
5894,Q1585887,Harold McNair,P509,cause of death,how did harold mcnair die,"[0, 0, 1, 1, 0]"
5895,Q7125062,Painterboy,P404,game mode,what is the gameplay mode of painterboy?,"[0, 0, 0, 0, 0, 0, 1]"
5896,Q168413,American Hot Rod,P495,country of origin,what is origin country is the tv program american hot rod from ,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]"
5897,Q1171858,Dash Mihok,P21,sex or gender,whats dash mihok's gender,"[0, 1, 1, 0]"
5898,Q4660670,A Winter Tale,P364,original language of film or TV show,what language is a winter tale spoken in?,"[1, 1, 0, 1, 1, 1, 0, 0]"
5899,Q77930,Katharina Hacker,P27,country of citizenship,what nationality is katharina hacker ,"[0, 0, 0, 1, 1]"
5900,Q83726,Ealing,P19,place of birth,who was a person born in ealing,"[0, 0, 0, 0, 0, 0, 1]"
5901,Q5525154,Gary Grainger,P19,place of birth,where is the birthplace of gary grainger,"[0, 0, 0, 0, 0, 1, 1]"
5902,Q1048902,pitcher,P413,position played on team / speciality,what is the name of a baseball player whose position was as a pitcher,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
5903,Q7181841,Phil Dokes,P413,position played on team / speciality,what football position does phil dokes play?,"[0, 0, 0, 0, 1, 1, 0]"
5904,Q120180,Alexander III of Russia,P40,child,who was alexander iii of russia's mom,"[0, 0, 1, 1, 1, 1, 0]"
5905,Q5420893,Expedition Africa,P495,country of origin,The tv show expedition africa takes place in what country?,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
5906,Q4986238,Bugs,P136,genre,What genre of film is bugs,"[0, 0, 0, 0, 0, 1]"
5907,Q261419,Archduchess Barbara of Austria,P20,place of death,Where did archduchess barbara of austria perish,"[0, 0, 1, 1, 1, 1, 0]"
5908,Q16204324,Ed Romanoff,P21,sex or gender,which gender is ed romanoff,"[0, 0, 0, 1, 1]"
5909,Q2318796,Lauren Tewes,P21,sex or gender,what is lauren tewes's gender?,"[0, 0, 1, 1, 0]"
5910,Q7453238,Sereno Edwards Dwight,P21,sex or gender,is sereno edwards dwight male or female?,"[0, 1, 1, 1, 0, 0, 0]"
5911,Q1140607,We Are Family,P162,producer,who produced the film we are family,"[0, 0, 0, 0, 1, 1, 1]"
5912,Q6833204,Michael O. Freeman,P19,place of birth,in which city was michael o. freeman born,"[0, 0, 0, 0, 1, 1, 1, 0]"
5913,Q883373,James Fitzmaurice,P21,sex or gender,is james fitzmaurice male or female,"[0, 1, 1, 0, 0, 0]"
5914,Q251262,James Massey,P27,country of citizenship,what country gives james massey his nationality,"[0, 0, 0, 1, 1, 0, 0]"
5915,Q285118,Ekk Deewana Tha,P136,genre,"What type of film genre is ""Ekk Deewana The""?","[0, 0, 0, 0, 0, 0, 1, 1, 0]"
5916,Q280658,forward,P413,position played on team / speciality,who played forward as football position,"[0, 0, 1, 0, 0, 0]"
5917,Q3227121,Oath of Swords,P50,author,who is the author of oath of swords,"[0, 0, 0, 0, 1, 1, 1, 1]"
5918,Q5275314,Different Worlds: The Definitive Vandenberg,P175,performer,which artist recorded the definitive vandenberg,"[0, 0, 0, 1, 1, 1]"
5919,Q7295476,Ratanji Dadabhoy Tata,P19,place of birth,which city was ratanji dadabhoy tata born in ,"[0, 0, 0, 1, 1, 1, 0, 0]"
5920,Q3134980,Mountain Time Zone,P421,located in time zone,what cities are in mountain time zone,"[0, 0, 0, 0, 1, 1, 1]"
5921,Q1052975,Cell 211,P495,country of origin,What country released the movie cell 211,"[0, 0, 0, 0, 0, 1, 1]"
5922,Q953040,Searchlight Pictures,P272,production company,Name a 2000 period film from fox searchlight pictures.,"[0, 0, 0, 0, 0, 0, 0, 1, 1]"
5923,Q5584335,Gor,P495,country of origin,what country was gor filmed in?,"[0, 0, 0, 1, 0, 0]"
5924,Q1972032,Whores' Glory,P495,country of origin,what country is whores glory originally from?,"[0, 0, 0, 0, 1, 0, 0]"
5925,Q4591161,Jack Howe,P413,position played on team / speciality,What position did jack howe play?,"[0, 0, 0, 1, 1, 0]"
5926,Q10945197,Mr. Mumble,P495,country of origin,what country is meng bo filmed in?,"[0, 0, 0, 0, 0, 0, 0]"
5927,Q4840631,Badaró,P509,cause of death,why did badaró die,"[0, 0, 1, 0]"
5928,Q7409587,Samiyam,P264,record label,which label is samiyam with,"[0, 0, 0, 1, 0]"
5929,Q6885766,Mlungisi Mdluli,P413,position played on team / speciality,what position does mlungisi mdluli play at in football?,"[0, 0, 0, 1, 1, 0, 0, 0, 0]"
5930,Q5305588,Drake Bulldogs men's basketball,P641,sport,which sport is played by drake bulldogs men's basketball,"[0, 0, 0, 0, 0, 1, 1, 1, 1]"
5931,Q920637,Morley Safer,P106,occupation,What is Morley Safer's profession?,"[0, 0, 1, 1, 0]"
5932,Q1743522,Thea Linhard-Böhm,P20,place of death,where did thea linhard pass away in?,"[0, 0, 1, 0, 0, 0, 0]"
5933,Q2526255,film director,P106,occupation,Name a professional film director,"[0, 0, 0, 1, 1]"
5934,Q42939,Bronisław Komorowski,P21,sex or gender,is bronisław maria komorowski male or female,"[0, 1, 0, 1, 0, 0, 0]"
5935,Q562764,Kurt Thomas,P413,position played on team / speciality,what basketball position does kurt thomas play ,"[0, 0, 0, 0, 1, 1, 0]"
5936,Q806349,bandleader,P106,occupation,Name a professional bandleader,"[0, 0, 0, 1]"
5937,Q17001357,Currents,P175,performer,which artist made the album named  currents,"[0, 0, 0, 0, 0, 0, 1]"
5938,Q5442818,Feminine Fancy,P175,performer,Who wrote the album feminine fancy?,"[0, 0, 0, 0, 1, 1]"
5939,Q6525481,Leonard Landy,P19,place of birth,What state was leonard landy born in,"[0, 0, 0, 1, 1, 0, 0]"
5940,Q149314,2505 Hebei,P65,site of astronomical discovery,where was 2505 hebei discovered,"[0, 0, 1, 1, 0]"
5941,Q131578,J-pop,P136,genre,which j-pop artist started out in 2003?,"[0, 1, 0, 0, 0, 0, 0]"
5942,Q497200,Washington County,P131,located in the administrative territorial entity,Name a city in washington county,"[0, 0, 0, 0, 1, 1]"
5943,Q5322140,E. S. Hoyt House,P149,architectural style,what is the architectural style of e. s. hoyt house?,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
5944,Q3481533,Sharon Waxman,P19,place of birth,which country was sharon waxman born in,"[0, 0, 0, 1, 1, 0, 0]"
5945,Q5327347,Earwig,P175,performer,which artist created the album earwig,"[0, 0, 0, 0, 0, 1]"
5946,Q1564667,Oren Koules,P162,producer,what film did oren koules produce,"[0, 0, 0, 1, 1, 0]"
5947,Q6607,guitar,P1303,instrument,Who plays guitar?,"[0, 0, 1]"
5948,Q7092637,One Fine Day,P50,author,which american author wrote one fine day?,"[0, 0, 0, 0, 1, 1, 1]"
5949,Q2163820,Rolf Stahlhofen,P21,sex or gender,what is the sex of rolf stahlhofen,"[0, 0, 0, 0, 0, 1, 1]"
5950,Q1782900,Sad but True,P86,composer,who is the composer of sad but true,"[0, 0, 0, 0, 0, 1, 1, 1]"
5951,Q109342,North Hwanghae Province,P131,located in the administrative territorial entity,north hwanghae province  is a province of what country,"[1, 1, 1, 0, 0, 1, 0, 0, 0]"
5952,Q2159512,Roberto Gavioli,P19,place of birth,where in italy was roberto gavioli born in?,"[0, 0, 0, 0, 1, 1, 0, 0]"
5953,Q595171,Elongated Man,P21,sex or gender,What is the gender of the fictional character elongated man?,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
5954,Q745066,Nicky Weaver,P19,place of birth,where did nicky weaver take his first breath,"[0, 0, 1, 1, 0, 0, 0, 0]"
5955,Q1717546,Pinuccio Ardia,P20,place of death,Where did pinuccio ardia perish,"[0, 0, 1, 1, 0]"
5956,Q16240869,Berkeley Everett,P136,genre,what kind of music did berkeley everett make?,"[0, 0, 0, 0, 0, 1, 1, 0]"
5957,Q6478703,Lakeer – Forbidden Lines,P495,country of origin,in which country was lakeer - forbidden lines filmed,"[0, 0, 0, 0, 1, 0, 1, 1, 0]"
5958,Q8035526,World Class Baseball,P404,game mode,What is a gameplay mode from the game world class baseball,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
5959,Q18426,The Bronx,P19,place of birth,who's a famous drummer who was born in the bronx,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
5960,Q6186,communism,P1142,political ideology,Name a political party associated with communism,"[0, 0, 0, 0, 0, 0, 1]"
5961,Q19185,George Bernard Shaw,P737,influenced by,which activist influenced george bernard shaw,"[0, 0, 0, 1, 1, 1]"
5962,Q1009918,Brunello Rondi,P58,screenwriter,what is the title of the film that brunello rondi was the writer for,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
5963,Q41819,Kansas City,P19,place of birth,"who is an actress born in kansas city, missouri","[0, 0, 0, 0, 0, 0, 1, 1, 0]"
5964,Q335402,"John Colborne, 1st Baron Seaton",P20,place of death,"where did john colborne, 1st baron seaton pass away","[0, 0, 1, 1, 1, 1, 1, 0, 0]"
5965,Q3041232,Duncan Gordon Boyes,P20,place of death,where did duncan gordon boyes pass away at?,"[0, 0, 1, 1, 1, 0, 0, 0]"
5966,Q6625963,novelist,P106,occupation,Name a novelist. ,"[0, 0, 1]"
5967,Q5028839,Can't Ban Tha Truth,P175,performer,who released the album cant ban tha truth?,"[0, 0, 0, 0, 0, 1, 1, 1]"
5968,Q1681295,James Wickersham,P20,place of death,where did james wickersham die,"[0, 0, 1, 1, 0]"
5969,Q2639026,Albert Whitlock,P509,cause of death,what caused albert whitlock to die ,"[0, 0, 1, 1, 0, 0]"
5970,Q845437,Masanori Ishikawa,P413,position played on team / speciality,what position does masanori ishikawa in baseball ,"[0, 0, 0, 1, 1, 0, 0]"
5971,Q6727497,Madhupal,P106,occupation,What is Madhupal's profession?,"[0, 0, 1, 0]"
5972,Q7634043,Sue Charles,P106,occupation,What is sue charles's profession?,"[0, 0, 1, 1, 0]"
5973,Q7381432,Russell Copeland,P106,occupation,What is Russell Copeland famous for being?,"[0, 0, 1, 1, 0, 0, 0]"
5974,Q656,Saint Petersburg,P19,place of birth,Who was born in Saint Petersburg?,"[0, 0, 0, 0, 1, 1]"
5975,Q4712758,Dumbrăvița River,P17,country,what country is the dumbrăvița river in?,"[0, 0, 0, 0, 1, 1, 0]"
5976,Q47944,Allegany County,P131,located in the administrative territorial entity,which village is located in allegany county,"[0, 0, 0, 0, 0, 1, 1]"
5977,Q6895044,multiplayer video game,P404,game mode,whats the name of a multiplayer game,"[0, 0, 0, 0, 0, 1, 1]"
5978,Q151286,3314 Beals,P31,instance of,what category does 3314 beals belong to,"[0, 0, 0, 1, 1, 0, 0]"
5979,Q6701022,Luis R. Esteves,P20,place of death,Where did luis r. esteves die,"[0, 0, 1, 1, 1, 0]"
5980,Q7719390,The Border,P136,genre,what type of movie is the border?,"[0, 0, 0, 0, 0, 1, 1]"
5981,Q7557184,Sold for Tomorrow,P136,genre,What kind of music is sold for tomorrow?,"[0, 0, 0, 0, 0, 1, 1, 1]"
5982,Q2915395,Kit Lambert,P264,record label,what is the english record label of kit lambert,"[0, 0, 0, 0, 0, 0, 0, 1, 1]"
5983,Q1499632,Aldrin,P138,named after,The aldrin crater is named after who?,"[0, 1, 0, 0, 0, 0, 0]"
5984,Q16230701,John Glenn,P21,sex or gender,what is john glenn's biological sex,"[0, 0, 1, 1, 0, 0]"
5985,Q7733904,The Final Days,P364,original language of film or TV show,what was the original language in the final days,"[0, 0, 1, 0, 0, 0, 1, 1, 1]"
5986,Q193592,midfielder,P413,position played on team / speciality,what's the name of a midfielder from spain,"[0, 0, 0, 0, 0, 1, 0, 0]"
5987,Q964454,Jimmy Carr,P27,country of citizenship,from what country is jimmy carr from ,"[0, 0, 0, 0, 1, 1, 0]"
5988,Q1225,Bruce Springsteen,P676,lyrics by,what lyrics has bruce springsteen written?,"[0, 0, 0, 1, 1, 0]"
5989,Q3180201,Villa Hills,P131,located in the administrative territorial entity,what country is villa hills in,"[0, 0, 0, 1, 1, 0]"
5990,Q6625963,novelist,P106,occupation,List an american novelist,"[0, 0, 0, 1]"
5991,Q263797,Dirk Anders,P19,place of birth,Where was dirk anders born?,"[0, 0, 1, 1, 0]"
5992,Q4053039,Welcome to Poppy's,P136,genre,what musical genre is the album welcome to poppys classified as,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
5993,Q836663,Medford,P19,place of birth,what tennis player is from medford,"[0, 0, 0, 0, 0, 1]"
5994,Q122275,Hans-Rudolf Merz,P140,religion or worldview,which religion does hans-rudolf merz practice,"[0, 0, 0, 1, 1, 0]"
5995,Q454022,Duncan Tucker,P57,director,which film did duncan tucker direct,"[0, 0, 0, 1, 1, 0]"
5996,Q5041159,Carlene Hatcher Polite,P172,ethnic group,what is the ethnicity of carlene hatcher polite,"[0, 0, 0, 0, 0, 1, 1, 1]"
5997,Q2364449,III,P175,performer,Who is the artist of the album iii?,"[0, 0, 0, 0, 0, 0, 0, 1]"
5998,Q907963,Hannu Mäkelä,P21,sex or gender,what gender is hannu mäkelä?,"[0, 0, 0, 1, 1]"
5999,Q5569175,Glenn Wheatley,P136,genre,What kind of music does glenn wheatley make?,"[0, 0, 0, 0, 0, 1, 1, 0]"
6000,Q6266817,Johnny Gruelle,P20,place of death,where did johnny gruelle die,"[0, 0, 1, 1, 0]"
6001,Q6118591,Jacob Erskine,P413,position played on team / speciality,what position did jacob erskine play in soccer?,"[0, 0, 0, 1, 1, 0, 0, 0]"
6002,Q1197789,The Father,P50,author,Who authored the written work the father (strindberg)?,"[0, 0, 1, 0, 0, 1, 1, 0]"
6003,Q7666065,Sérgio Dias Ribeiro,P19,place of birth,where was sergio dias ribeiro born?,"[0, 0, 0, 1, 1, 0]"
6004,Q748020,New Haven,P19,place of birth,which baseball player was born in new haven?,"[0, 0, 0, 0, 0, 0, 1, 1]"
6005,Q5983151,Ian Villafana,P136,genre,what genre of music does ian villafana play,"[0, 0, 0, 0, 0, 1, 1, 0]"
6006,Q157443,comedy film,P136,genre,Name a film in the comedy genre,"[0, 0, 1, 0, 0, 1, 0]"
6007,Q2328356,Clontarf,P276,location,"What's a battle that took place in clontarf, dublin","[0, 0, 0, 0, 0, 0, 0, 1, 0]"
6008,Q645928,biographical film,P136,genre,which biographical film was filmed in argentina?,"[0, 1, 1, 0, 1, 0, 0]"
6009,Q17042,Oakland,P19,place of birth,Name a person born in oakland.,"[0, 0, 0, 0, 0, 1]"
6010,Q2555020,Hansel and Gretel,P364,original language of film or TV show,what language is hansel and gretel in,"[0, 0, 0, 1, 1, 1, 0]"
6011,Q5262979,Derrick Borte,P58,screenwriter,what films did derrick borte write,"[0, 0, 0, 1, 1, 0]"
6012,Q240933,Joan Rivers,P19,place of birth,Where was Joan Rivers born in?,"[0, 0, 1, 1, 0, 0]"
6013,Q174699,Midnight Express,P1431,executive producer,Who was the executive producer of the film midnight express,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
6014,Q150497,2989 Imago,P31,instance of,what kind of celestial object is 2989 imago,"[0, 0, 0, 0, 0, 0, 1, 1]"
6015,Q895719,Der Schatz der Azteken,P57,director,who was the director for der schatz der azteken,"[0, 0, 0, 0, 0, 1, 1, 1, 1]"
6016,Q7287720,Ralph Johnson,P136,genre,what kind of music does  ralph johnson play in?,"[0, 0, 0, 0, 0, 1, 1, 0, 0]"
6017,Q3887283,Otto Eisenschiml,P19,place of birth,What country was otto eisenschiml born in?,"[0, 0, 0, 1, 1, 0, 0]"
6018,Q1675435,It's a Free World...,P136,genre,what type of genre is its a free world...?,"[1, 0, 0, 0, 0, 0, 1, 1, 1]"
6019,Q1064132,10168 Stony Ridge,P31,instance of,what is the 10168 stony ridge ,"[0, 0, 0, 1, 1, 1]"
6020,Q8000597,Wild Combination: A Portrait of Arthur Russell,P495,country of origin,what country was wild combination: a portrait of arthur russell filmed,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
6021,Q657079,Serpico,P136,genre,what genre is serpico in?,"[0, 0, 0, 1, 0]"
6022,Q673364,Obrint Pas,P136,genre,what musical genre does obrint pas create,"[0, 0, 0, 0, 1, 1, 0]"
6023,Q11270582,The Gentleman,P57,director,who directed the gentleman,"[0, 0, 1, 1]"
6024,Q3071,punk rock,P136,genre,Name a punk rock artist. ,"[0, 0, 1, 1, 0]"
6025,Q501859,Luís da Cunha,P19,place of birth,What is the birth place of luís da cunha?,"[0, 0, 0, 0, 0, 0, 1, 1, 1]"
6026,Q4760018,André Nunes,P19,place of birth,where was andré nunes born ,"[0, 0, 1, 1, 0]"
6027,Q4777805,Anup Kumar,P27,country of citizenship,what is anup kumar's nationality,"[0, 0, 1, 1, 0]"
6028,Q7573239,Spanish Louie,P19,place of birth,what city was spanish louie born,"[0, 0, 0, 1, 1, 0]"
6029,Q167065,Sixtus III,P21,sex or gender,What is pope sixtus iii's gender?,"[0, 0, 0, 1, 1, 0]"
6030,Q5107710,Chris Pazan,P21,sex or gender,is chris pazan male or female,"[0, 1, 1, 0, 0, 0]"
6031,Q2707551,Ladies of the Canyon,P175,performer,Who is the artist of the album ladies of the canyon?,"[0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
6032,Q155152,Polydor Records,P264,record label,which artist works under the polydor records label,"[0, 0, 0, 0, 0, 1, 1, 0]"
6033,Q55198,Alexander Dovzhenko,P57,director,Name a film directed by alexander dovzhenko?,"[0, 0, 0, 0, 0, 1, 1]"
6034,Q106440,Goldfinger,P58,screenwriter,who wrote goldfinger (film),"[0, 0, 1, 0]"
6035,Q728900,Roland Duchâtelet,P21,sex or gender,which gender does roland duchâtelet belong to,"[0, 0, 0, 1, 1, 0, 0]"
6036,Q1486,Buenos Aires,P19,place of birth,what is the name of an author born in buenos aires,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
6037,Q11399,rock music,P136,genre,what singer from Yugoslavia is known for his rock music,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
6038,Q488840,Dale County,P131,located in the administrative territorial entity,what is a city in dale county,"[0, 0, 0, 0, 0, 1, 1]"
6039,Q1334212,Elvezia Michel-Baldini,P19,place of birth,where was elvezia michel-baldini born?,"[0, 0, 1, 1, 0]"
6040,Q79875,Mobile,P19,place of birth,Name someone who was born in mobile,"[0, 0, 0, 0, 0, 0, 1]"
6041,Q1189718,8922 Kumanodake,P196,minor planet group,which asteroid group is 8922 kumanodake a member of,"[0, 0, 0, 0, 1, 1, 0, 0, 0]"
6042,Q3178768,Jim Cregan,P21,sex or gender,what gender is jim cregan,"[0, 0, 0, 1, 1]"
6043,Q2777751,Shoshana Arbeli-Almozlino,P21,sex or gender,is shoshana arbeli-almozlino biologically female or male,"[0, 1, 1, 0, 0, 0, 0]"
6044,Q4717878,Alex Taylor,P413,position played on team / speciality,what positions has alex taylor ever played,"[0, 0, 0, 1, 1, 0, 0]"
6045,Q773645,What's the Worst That Could Happen?,P364,original language of film or TV show,what language is used in what's the worst that could happen?,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]"
6046,Q1472322,Mercy,P57,director,who directed mercy,"[0, 0, 1]"
6047,Q4896571,Best Always,P136,genre,what type of music does the album belong to?,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
6048,Q5419735,Excuse My Dust,P57,director,which films were directed by excuse my dust?,"[0, 0, 0, 0, 0, 1, 1, 1]"
6049,Q177220,singer,P106,occupation,What person had the profession of a singer?,"[0, 0, 0, 0, 0, 0, 0, 1]"
6050,Q6037772,Inside Outing,P404,game mode,what types of gameplay is used for inside outing,"[0, 0, 0, 0, 0, 0, 0, 1, 1]"
6052,Q7340959,Robbie Mustoe,P19,place of birth,where was robbie mustoe born,"[0, 0, 1, 1, 0]"
6053,Q797814,Baby,P495,country of origin,Which country created the film baby,"[0, 0, 0, 0, 0, 1]"
6054,Q546175,Gordon Gould,P20,place of death,what city did gordon gould die in,"[0, 0, 0, 1, 1, 0, 0]"
6055,Q3446567,Jure Bilić,P20,place of death,Where did jure bilić die?,"[0, 0, 1, 1, 0]"
6056,Q356068,Kirk Kerkorian,P21,sex or gender,is kirk kerkorian a male or female,"[0, 1, 1, 0, 0, 0, 0]"
6057,Q4396739,Ronit Roy,P19,place of birth,Where was ronit roy born,"[0, 0, 1, 1, 0]"
